id,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,savings_status,sex,other_parties,own_telephone,foreign_worker,class,credit_history_all paid,credit_history_critical/other existing credit,credit_history_delayed previously,credit_history_existing paid,credit_history_no credits/all paid,purpose_business,purpose_domestic appliance,purpose_education,purpose_furniture/equipment,purpose_new car,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,purpose_used car,status_matrimonial_div/dep/mar,status_matrimonial_div/sep,status_matrimonial_mar/wid,status_matrimonial_single,property_magnitude_car,property_magnitude_life insurance,property_magnitude_no known property,property_magnitude_real estate,other_payment_plans_bank,other_payment_plans_none,other_payment_plans_stores,housing_for free,housing_own,housing_rent,job_high qualif/self emp/mgmt,job_skilled,job_unemp/unskilled non res,job_unskilled resident
66,-0.7432123484971584,-0.6681191428649355,0.9034522185179075,-0.727126845410718,0.07239366732740961,1.0758337480365707,-0.43240987172119044,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
142,-0.7432123484971584,0.050975307334152495,0.017445973874828477,-1.6453989361514294,-0.029530882117715884,-0.6989175161258463,-0.43240987172119044,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
926,-1.4260777111266818,-0.6464546518971761,-1.7545665154113295,1.1094173360707047,1.19356371122379,1.0758337480365707,2.3126206532231537,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
828,-0.970834136040333,-0.6447881525919639,0.9034522185179075,-0.727126845410718,-0.7430027282335944,1.0758337480365707,-0.43240987172119044,3,3,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
656,-0.06034698586763503,-0.17566859817471414,0.9034522185179075,-1.6453989361514294,-0.9468518271238453,-0.6989175161258463,-0.43240987172119044,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
332,-0.7432123484971584,-0.6964496310535437,-1.7545665154113295,-1.6453989361514294,1.19356371122379,1.0758337480365707,-0.43240987172119044,2,4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
665,0.16727480167553946,-0.2844076778398138,0.9034522185179075,1.1094173360707047,0.4800918651079116,-0.6989175161258463,-0.43240987172119044,1,3,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
250,-0.06034698586763503,0.2559547218752598,0.9034522185179075,-1.6453989361514294,-0.9468518271238453,-0.6989175161258463,-0.43240987172119044,1,3,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
908,0.2810856954471267,0.04097631150287897,0.017445973874828477,-0.727126845410718,-0.6410781787884688,1.0758337480365707,-0.43240987172119044,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
735,1.9882491020209352,0.7463221424339658,-0.8685602707682505,-0.727126845410718,-0.23337998100796686,-0.6989175161258463,-0.43240987172119044,0,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
976,-1.0846450298119201,-0.7251967440684551,-0.8685602707682505,1.1094173360707047,0.2762427662176606,2.8505850121989877,-0.43240987172119044,2,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
50,-0.06034698586763503,-0.7664426018724585,0.9034522185179075,-1.6453989361514294,-0.43722907989821785,1.0758337480365707,-0.43240987172119044,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
545,0.6225183767618884,-0.00943529247979174,0.017445973874828477,1.1094173360707047,0.17431821677253512,-0.6989175161258463,2.3126206532231537,0,4,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
351,-0.06034698586763503,0.3688600498033901,0.017445973874828477,-0.727126845410718,0.07239366732740961,1.0758337480365707,-0.43240987172119044,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
905,-0.7432123484971584,-0.7551937315622758,0.9034522185179075,1.1094173360707047,1.397412810114041,1.0758337480365707,-0.43240987172119044,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
537,-0.06034698586763503,-0.5468813184107439,0.9034522185179075,1.1094173360707047,1.19356371122379,1.0758337480365707,-0.43240987172119044,0,4,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
345,0.6225183767618884,-0.6747851400857845,-0.8685602707682505,1.1094173360707047,0.17431821677253512,1.0758337480365707,-0.43240987172119044,3,2,4,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
995,-0.40177966718239677,-0.5522974411526838,0.9034522185179075,1.1094173360707047,-0.029530882117715884,-0.6989175161258463,2.3126206532231537,0,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
482,-0.8570232422687457,1.8053824508963534,-1.7545665154113295,1.1094173360707047,0.4800918651079116,1.0758337480365707,-0.43240987172119044,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
576,1.9882491020209352,0.1863783758826482,0.9034522185179075,-0.727126845410718,1.7031864584494174,-0.6989175161258463,-0.43240987172119044,0,4,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
34,-0.970834136040333,-0.3177376639440589,-0.8685602707682505,0.19114524532999336,-0.7430027282335944,1.0758337480365707,-0.43240987172119044,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
32,1.9882491020209352,2.0666062169883745,0.9034522185179075,-0.727126845410718,-0.9468518271238453,1.0758337480365707,-0.43240987172119044,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
232,0.6225183767618884,-0.12150737075531587,-0.8685602707682505,1.1094173360707047,-0.6410781787884688,-0.6989175161258463,-0.43240987172119044,0,2,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
964,1.3053837393914118,-0.4064787519466114,0.9034522185179075,0.19114524532999336,-0.43722907989821785,1.0758337480365707,-0.43240987172119044,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
193,-0.970834136040333,-0.6747851400857845,0.9034522185179075,-0.727126845410718,-1.1507009260140963,-0.6989175161258463,-0.43240987172119044,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
334,0.6225183767618884,-0.3485679010904856,0.9034522185179075,-0.727126845410718,-0.13145543156284137,1.0758337480365707,-0.43240987172119044,0,2,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
4,-0.7432123484971584,-0.5531306908052899,-1.7545665154113295,-1.6453989361514294,-1.2526254754592219,-0.6989175161258463,-0.43240987172119044,2,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
205,0.6225183767618884,-0.632706032629175,0.9034522185179075,-1.6453989361514294,-0.6410781787884688,-0.6989175161258463,-0.43240987172119044,0,3,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
515,1.9882491020209352,-0.23816232212017371,0.9034522185179075,1.1094173360707047,-1.0487763765689708,-0.6989175161258463,-0.43240987172119044,2,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
800,-0.40177966718239677,0.7200747783768727,0.017445973874828477,-0.727126845410718,0.5820164145530371,-0.6989175161258463,-0.43240987172119044,0,2,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
307,0.2810856954471267,0.011812573661664508,-1.7545665154113295,-1.6453989361514294,-0.6410781787884688,-0.6989175161258463,-0.43240987172119044,3,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
110,-0.06034698586763503,0.044309310113303475,-0.8685602707682505,1.1094173360707047,0.5820164145530371,-0.6989175161258463,-0.43240987172119044,2,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
431,-1.4260777111266818,-0.9601731461033831,0.017445973874828477,0.19114524532999336,-0.8449272776787198,-0.6989175161258463,-0.43240987172119044,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
78,0.6225183767618884,-0.5672959348995941,0.9034522185179075,0.19114524532999336,0.3781673156627861,-0.6989175161258463,-0.43240987172119044,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
287,1.3053837393914118,0.04014306185027284,-0.8685602707682505,1.1094173360707047,-0.9468518271238453,-0.6989175161258463,-0.43240987172119044,2,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
83,-0.7432123484971584,-0.7510274832992451,0.9034522185179075,1.1094173360707047,1.4993373595591666,1.0758337480365707,-0.43240987172119044,2,2,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
992,0.6225183767618884,1.5349929386256653,0.9034522185179075,-0.727126845410718,-0.5391536293433433,-0.6989175161258463,-0.43240987172119044,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
790,-1.4260777111266818,-0.3244036611649079,-0.8685602707682505,-0.727126845410718,0.6839409639981626,-0.6989175161258463,-0.43240987172119044,3,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
895,1.9882491020209352,2.8056986588500092,0.9034522185179075,1.1094173360707047,-1.0487763765689708,1.0758337480365707,-0.43240987172119044,1,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
399,-0.40177966718239677,-0.7672758515250646,0.9034522185179075,-0.727126845410718,-0.7430027282335944,-0.6989175161258463,-0.43240987172119044,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
324,1.3053837393914118,3.792682872361967,-1.7545665154113295,-1.6453989361514294,-0.029530882117715884,-0.6989175161258463,-0.43240987172119044,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
520,-0.06034698586763503,1.402089619034988,0.017445973874828477,0.19114524532999336,-0.6410781787884688,-0.6989175161258463,-0.43240987172119044,2,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
917,-0.06034698586763503,-0.6052087940931729,0.9034522185179075,1.1094173360707047,-0.23337998100796686,1.0758337480365707,2.3126206532231537,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
923,-0.970834136040333,-0.2852409274924199,-0.8685602707682505,-0.727126845410718,-0.9468518271238453,-0.6989175161258463,-0.43240987172119044,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
6,0.6225183767618884,-0.671868766301663,0.9034522185179075,-0.727126845410718,-0.23337998100796686,-0.6989175161258463,-0.43240987172119044,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
732,-0.40177966718239677,1.6478982665537956,-1.7545665154113295,-0.727126845410718,-0.029530882117715884,-0.6989175161258463,2.3126206532231537,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
466,-0.970834136040333,-0.27232555787702495,-1.7545665154113295,0.19114524532999336,1.397412810114041,1.0758337480365707,2.3126206532231537,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
267,-1.6536994986698563,-0.9555902730140494,-1.7545665154113295,0.19114524532999336,-1.1507009260140963,-0.6989175161258463,2.3126206532231537,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
358,0.2810856954471267,-0.2256635773310818,-1.7545665154113295,1.1094173360707047,1.2954882606689155,1.0758337480365707,-0.43240987172119044,2,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
869,-0.7432123484971584,-0.28357442818720763,0.9034522185179075,0.19114524532999336,-1.0487763765689708,-0.6989175161258463,-0.43240987172119044,1,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
799,-0.40177966718239677,-0.6610365208177833,0.9034522185179075,1.1094173360707047,0.3781673156627861,1.0758337480365707,-0.43240987172119044,2,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
381,-0.7432123484971584,-0.9455912771827758,0.9034522185179075,-1.6453989361514294,-0.8449272776787198,-0.6989175161258463,-0.43240987172119044,2,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
632,-0.7432123484971584,-0.9110114165996216,-0.8685602707682505,0.19114524532999336,0.3781673156627861,-0.6989175161258463,2.3126206532231537,1,2,1,1,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
382,-0.06034698586763503,-0.8451846940437375,0.9034522185179075,-0.727126845410718,-0.9468518271238453,-0.6989175161258463,-0.43240987172119044,2,2,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
491,1.9882491020209352,-0.3923135078523073,0.9034522185179075,1.1094173360707047,2.7224319529006724,-0.6989175161258463,-0.43240987172119044,2,4,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
119,-1.0846450298119201,-0.6022924203090514,0.017445973874828477,-0.727126845410718,-0.7430027282335944,1.0758337480365707,-0.43240987172119044,0,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
901,1.9882491020209352,2.266586133613845,0.017445973874828477,1.1094173360707047,1.2954882606689155,-0.6989175161258463,-0.43240987172119044,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
524,-0.7432123484971584,-0.3223205370333926,0.9034522185179075,-0.727126845410718,-0.43722907989821785,1.0758337480365707,-0.43240987172119044,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
197,0.2810856954471267,0.19262774827719414,0.9034522185179075,-0.727126845410718,-0.5391536293433433,-0.6989175161258463,-0.43240987172119044,1,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
604,-0.7432123484971584,-0.5156344564380141,-0.8685602707682505,-0.727126845410718,-0.7430027282335944,-0.6989175161258463,-0.43240987172119044,1,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
588,-1.0846450298119201,-0.16150335408040997,-0.8685602707682505,1.1094173360707047,1.7031864584494174,-0.6989175161258463,-0.43240987172119044,0,4,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
240,-0.06034698586763503,-0.7993559631504005,-1.7545665154113295,-0.727126845410718,-1.1507009260140963,-0.6989175161258463,-0.43240987172119044,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
291,-0.06034698586763503,-0.7689423508302768,0.9034522185179075,1.1094173360707047,-1.3545500249043474,-0.6989175161258463,-0.43240987172119044,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
212,1.3053837393914118,0.6813286695306878,0.9034522185179075,1.1094173360707047,-0.8449272776787198,-0.6989175161258463,-0.43240987172119044,0,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
718,-0.7432123484971584,-0.7214471206317276,0.9034522185179075,1.1094173360707047,0.9897146123335391,-0.6989175161258463,-0.43240987172119044,0,2,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
360,1.3053837393914118,0.400940161428726,0.9034522185179075,1.1094173360707047,0.5820164145530371,-0.6989175161258463,-0.43240987172119044,1,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
228,-1.4260777111266818,-1.1018255870464246,-0.8685602707682505,-0.727126845410718,0.6839409639981626,1.0758337480365707,-0.43240987172119044,0,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
951,0.6225183767618884,0.11096928232179366,0.9034522185179075,-0.727126845410718,-0.3353045304530924,-0.6989175161258463,-0.43240987172119044,1,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
947,1.9882491020209352,3.1589965115550074,-0.8685602707682505,1.1094173360707047,0.785865513443288,1.0758337480365707,-0.43240987172119044,0,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
502,-0.40177966718239677,-0.7006158793165744,0.9034522185179075,0.19114524532999336,1.2954882606689155,-0.6989175161258463,-0.43240987172119044,0,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
465,-1.4260777111266818,-0.10317587839798106,-0.8685602707682505,0.19114524532999336,0.9897146123335391,-0.6989175161258463,2.3126206532231537,1,2,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
363,-1.4260777111266818,-1.0284996176170855,0.9034522185179075,1.1094173360707047,0.4800918651079116,-0.6989175161258463,-0.43240987172119044,0,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
469,-1.3122668173550947,-0.19983283810029184,0.017445973874828477,-0.727126845410718,-0.029530882117715884,-0.6989175161258463,-0.43240987172119044,2,2,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
429,-1.4260777111266818,-0.6972828807061499,-1.7545665154113295,-0.727126845410718,-0.7430027282335944,1.0758337480365707,-0.43240987172119044,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
8,-0.7432123484971584,-1.0355822396642376,0.017445973874828477,0.19114524532999336,0.785865513443288,1.0758337480365707,-0.43240987172119044,3,2,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
156,1.9882491020209352,1.763303343439744,-0.8685602707682505,1.1094173360707047,-1.1507009260140963,1.0758337480365707,-0.43240987172119044,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
542,-1.0846450298119201,-0.6693690173438446,0.017445973874828477,1.1094173360707047,1.397412810114041,1.0758337480365707,2.3126206532231537,1,4,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
