index,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,sex,status_matrimonial,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
614,0,15,critical,car,3368,>=1000,8,3,male,single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good
105,100,9,existing paid,accessory,959,little,4,1,female,other,none,2,car,29,none,own,1,skilled,1,none,no,bad
3,100,12,existing paid,devices,1567,little,4,1,female,other,none,1,car,22,none,own,1,skilled,1,yes,yes,good
795,0,12,existing paid,education,1393,little,8,4,male,single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
122,0,24,critical,devices,1516,>=1000,4,4,female,other,none,1,real estate,43,none,own,2,unskilled,1,none,yes,good
618,0,48,existing paid,car,4788,little,7,4,male,single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good
465,0,10,critical,car,2241,little,0,1,male,single,none,3,real estate,48,none,rent,2,unskilled,2,none,no,good
296,100,24,existing paid,car,4113,rich,0,3,female,other,none,4,car,28,none,rent,1,skilled,1,none,yes,bad
907,0,21,delayed previously,car,2993,little,4,3,male,single,none,2,real estate,28,stores,own,2,unskilled,1,none,yes,good
47,100,24,critical,car,7758,>=1000,8,2,female,other,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good
443,100,36,existing paid,education,3711,none,4,2,male,widow,none,2,car,27,none,own,1,skilled,1,none,yes,good
874,300,12,critical,car,1480,rich,unemployed,2,male,single,none,4,no known property,66,bank,for free,3,unemp/unskilled non res,1,none,yes,good
689,0,6,critical,accessory,1872,little,unemployed,4,male,single,none,4,no known property,36,none,for free,3,high qualif,1,yes,yes,good
158,100,18,existing paid,devices,1113,little,4,4,female,other,guarantor,4,real estate,26,none,own,1,unskilled,2,none,yes,good
722,0,12,critical,devices,1934,little,8,2,male,single,none,2,no known property,26,none,own,2,skilled,1,none,yes,good
132,300,12,all paid,business,609,little,0,4,female,other,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,bad
500,0,54,no credits/all paid,car,9436,none,4,2,male,single,none,2,life insurance,39,none,own,1,unskilled,2,none,yes,good
117,0,18,existing paid,devices,1126,none,0,4,female,other,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good
713,300,24,existing paid,devices,5152,little,7,4,male,single,none,2,car,25,bank,own,1,skilled,1,none,yes,good
997,0,12,existing paid,devices,804,little,8,4,male,single,none,4,car,38,none,own,1,skilled,1,none,yes,good
753,0,24,existing paid,devices,1552,little,7,3,male,single,none,1,car,32,bank,own,1,skilled,2,none,yes,good
700,0,11,critical,car,3905,little,4,2,male,single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
551,0,21,delayed previously,education,3414,little,0,2,male,single,none,1,life insurance,26,none,own,2,skilled,1,none,yes,bad
815,100,30,all paid,accessory,3496,>=1000,4,4,male,single,none,2,car,34,stores,own,1,skilled,2,yes,yes,good
444,100,6,existing paid,devices,2063,little,0,4,male,widow,none,3,car,30,none,rent,1,high qualif,1,yes,yes,good
51,100,11,existing paid,accessory,1577,>=1000,0,4,female,other,none,1,real estate,20,none,own,1,skilled,1,none,yes,good
918,0,15,critical,accessory,3343,little,4,4,male,single,none,2,no known property,28,none,for free,1,skilled,1,yes,yes,good
496,0,36,existing paid,education,1977,none,8,4,male,single,none,4,no known property,40,none,own,1,high qualif,1,yes,yes,bad
239,0,18,existing paid,car,976,little,0,1,female,other,none,2,car,23,none,own,1,unskilled,1,none,yes,bad
501,0,15,existing paid,devices,1213,rich,8,4,male,single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,good
635,0,8,critical,car,3398,little,7,1,male,single,none,4,real estate,39,none,own,2,unskilled,1,none,no,good
179,0,9,existing paid,accessory,1388,little,4,4,female,other,none,2,real estate,26,none,rent,1,skilled,1,none,yes,good
964,100,60,existing paid,education,6288,little,4,4,male,single,none,4,no known property,42,none,for free,1,skilled,1,none,yes,bad
327,0,6,existing paid,accessory,1543,>=1000,4,4,male,single,none,2,real estate,33,none,own,1,skilled,1,none,yes,good
277,0,18,critical,devices,1098,little,unemployed,4,female,other,none,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good
687,0,5,existing paid,business,3448,little,7,1,male,single,none,4,real estate,74,none,own,1,unskilled,1,none,yes,good
63,0,10,existing paid,car,1364,little,4,2,female,other,none,4,car,64,none,own,1,skilled,1,yes,yes,good
604,0,18,critical,car,5302,little,8,2,male,single,none,4,no known property,36,none,for free,3,high qualif,1,yes,yes,good
276,100,11,critical,car,1322,>=1000,4,4,female,other,none,4,car,40,none,own,2,skilled,1,none,yes,good
85,0,12,existing paid,car,4675,none,0,1,female,other,none,4,car,20,none,rent,1,skilled,1,none,yes,good
540,100,24,delayed previously,business,6967,moderate,7,4,male,single,none,4,car,36,none,rent,1,high qualif,1,yes,yes,good
686,0,9,existing paid,accessory,1313,little,8,1,male,single,none,4,car,20,none,own,1,skilled,1,none,yes,good
322,0,14,existing paid,car,8978,little,8,1,male,single,none,4,life insurance,45,none,own,1,high qualif,1,yes,no,bad
989,0,36,existing paid,car,8229,little,4,2,male,single,none,2,life insurance,26,none,own,1,skilled,2,none,yes,bad
800,0,36,delayed previously,business,7980,none,0,4,male,single,none,4,car,27,none,rent,2,skilled,1,yes,yes,bad
851,100,24,delayed previously,devices,6403,little,0,1,male,single,none,2,car,33,none,own,1,skilled,1,none,yes,good
712,0,39,existing paid,car,2569,rich,4,4,male,single,none,4,car,24,none,own,1,skilled,1,none,yes,good
731,100,15,all paid,car,6850,moderate,unemployed,1,male,single,none,2,life insurance,34,none,own,1,high qualif,2,yes,yes,bad
842,0,18,critical,devices,629,rich,8,4,male,single,none,3,life insurance,32,bank,own,2,high qualif,1,yes,yes,good
554,0,21,critical,car,571,little,8,4,male,single,none,4,real estate,65,none,own,2,skilled,1,none,yes,good
128,0,15,existing paid,car,3186,>=1000,7,2,female,other,none,3,car,20,none,rent,1,skilled,1,none,yes,good
280,0,12,critical,accessory,1592,>=1000,7,3,female,other,none,2,life insurance,35,none,own,1,skilled,1,none,no,good
721,0,6,existing paid,car,3518,little,4,2,male,single,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good
791,0,42,critical,accessory,4042,rich,4,4,male,single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,good
287,100,48,no credits/all paid,other,18424,little,4,1,female,other,none,2,life insurance,32,bank,own,1,high qualif,1,yes,no,bad
673,0,14,delayed previously,car,802,little,4,4,male,single,none,2,car,27,none,own,2,unskilled,1,none,yes,good
188,100,7,existing paid,devices,2329,little,0,1,female,other,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,good
34,0,33,critical,accessory,4281,rich,4,1,female,other,none,4,car,23,none,own,2,skilled,1,none,yes,bad
316,0,36,delayed previously,business,9572,little,0,1,male,single,none,1,car,28,none,own,2,skilled,1,none,yes,bad
717,0,12,critical,car,1163,rich,4,4,male,single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good
648,0,12,no credits/all paid,devices,6199,little,4,4,male,single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
889,0,24,critical,education,1597,little,8,4,male,single,none,4,no known property,54,none,for free,2,skilled,2,none,yes,good
890,0,12,critical,devices,976,none,8,4,male,single,none,4,car,35,none,own,2,skilled,1,none,yes,good
93,0,18,critical,car,1028,little,4,4,female,other,none,3,real estate,36,none,own,2,skilled,1,none,yes,good
183,100,24,delayed previously,car,1965,none,4,4,female,other,none,4,car,42,none,rent,2,skilled,1,yes,yes,good
363,100,18,existing paid,business,1913,>=1000,0,3,male,widow,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
54,100,24,delayed previously,accessory,2064,little,unemployed,3,female,other,none,2,life insurance,34,none,own,1,high qualif,1,yes,yes,bad
572,0,9,critical,devices,3074,none,4,1,male,single,none,2,real estate,33,none,own,2,skilled,2,none,yes,good
431,100,8,existing paid,business,907,little,0,3,male,widow,none,2,real estate,26,none,own,1,skilled,1,yes,yes,good
56,100,9,all paid,car,5129,little,8,2,female,other,none,4,no known property,74,bank,for free,1,high qualif,2,yes,yes,bad
389,100,18,existing paid,devices,3213,rich,0,1,male,widow,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good
92,0,15,delayed previously,accessory,3643,little,8,1,female,other,none,4,life insurance,27,none,own,2,unskilled,1,none,yes,good
724,0,12,critical,car,2122,little,4,3,male,single,none,2,real estate,39,none,rent,2,unskilled,2,none,no,good
534,100,48,all paid,business,3566,moderate,7,4,male,single,none,2,car,30,none,own,1,skilled,1,none,yes,good
170,300,6,delayed previously,devices,683,little,0,2,female,other,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,good
28,0,6,delayed previously,devices,932,little,4,3,female,other,none,2,real estate,24,none,own,1,skilled,1,none,yes,good
178,0,24,critical,education,1927,none,4,3,female,other,none,2,car,33,none,own,2,skilled,1,yes,yes,good
620,300,42,critical,car,4796,little,8,4,male,single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,good
212,0,18,existing paid,devices,1453,little,0,3,female,other,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
418,300,12,existing paid,devices,1297,little,4,3,male,widow,none,4,real estate,23,none,rent,1,skilled,1,none,yes,good
35,0,21,existing paid,devices,1835,little,4,3,female,other,none,2,real estate,25,none,own,2,skilled,1,yes,yes,bad
274,0,36,delayed previously,accessory,7678,rich,7,2,female,other,none,4,car,40,none,own,2,skilled,1,yes,yes,good
455,0,24,delayed previously,car,4870,little,4,3,male,single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
352,100,24,existing paid,accessory,4057,little,7,3,male,single,none,3,car,43,none,own,1,skilled,1,yes,yes,bad
757,100,12,existing paid,devices,1331,little,0,2,male,single,none,1,car,22,stores,own,1,skilled,1,none,yes,bad
200,0,12,existing paid,accessory,1858,little,0,4,female,other,none,1,car,22,none,rent,1,skilled,1,none,yes,good
829,0,9,existing paid,devices,2753,moderate,8,3,male,single,co applicant,4,car,35,none,own,1,skilled,1,yes,yes,good
106,0,30,existing paid,accessory,2406,little,7,4,female,other,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
207,0,12,existing paid,car,1386,rich,4,2,female,other,none,2,life insurance,26,none,own,1,skilled,1,none,yes,bad
467,0,6,existing paid,accessory,1374,little,4,1,male,single,none,2,real estate,36,bank,own,1,unskilled,1,yes,yes,good
257,100,12,existing paid,car,7472,none,unemployed,1,female,other,none,2,real estate,24,none,rent,1,unemp/unskilled non res,1,none,yes,good
970,0,24,all paid,accessory,3349,rich,0,4,male,single,none,4,no known property,30,none,for free,1,skilled,2,yes,yes,bad
587,0,9,existing paid,car,2507,rich,8,2,male,single,none,4,no known property,51,none,for free,1,unskilled,1,none,yes,good
42,300,12,existing paid,devices,1881,little,4,2,female,other,none,2,car,44,none,rent,1,unskilled,1,yes,yes,good
785,100,21,critical,business,3652,little,7,2,male,single,none,3,life insurance,27,none,own,2,skilled,1,none,yes,good
585,0,24,existing paid,accessory,3149,little,0,4,male,single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,good
334,300,6,critical,car,1323,moderate,8,2,male,single,none,4,car,28,none,own,2,skilled,2,yes,yes,good
208,100,30,no credits/all paid,business,4221,little,4,2,female,other,none,1,car,28,none,own,2,skilled,1,none,yes,good
419,0,12,existing paid,car,900,none,4,4,male,widow,none,2,car,23,none,own,1,skilled,1,none,yes,bad
853,0,18,existing paid,car,4380,moderate,4,3,male,single,none,4,car,35,none,own,1,unskilled,2,yes,yes,good
897,0,36,existing paid,accessory,2712,little,8,2,male,single,none,2,life insurance,41,bank,own,1,skilled,2,none,yes,bad
199,100,30,existing paid,accessory,3441,moderate,4,2,female,other,co applicant,4,car,21,none,rent,1,skilled,1,none,yes,bad
442,0,15,existing paid,devices,1386,none,4,4,male,widow,none,2,real estate,40,none,rent,1,skilled,1,yes,yes,good
1,100,12,existing paid,car,1295,little,0,3,female,other,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
230,100,8,existing paid,devices,760,little,7,4,female,other,guarantor,2,real estate,44,none,own,1,unskilled,1,none,yes,good
171,100,24,delayed previously,devices,1553,moderate,7,3,female,other,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,good
436,0,21,critical,car,1602,little,8,4,male,widow,none,3,car,30,none,own,2,skilled,1,yes,yes,good
118,0,9,existing paid,business,1449,little,7,3,female,other,none,2,car,27,none,own,2,skilled,1,none,yes,good
932,0,24,existing paid,car,7814,little,7,3,male,single,none,3,car,38,none,own,1,high qualif,1,yes,yes,good
86,0,6,existing paid,car,672,little,unemployed,1,female,other,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good
839,100,30,delayed previously,business,2503,moderate,8,4,male,single,none,2,life insurance,41,stores,own,2,skilled,1,none,yes,good
16,0,24,existing paid,devices,3181,little,0,4,female,other,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good
833,0,24,existing paid,devices,2284,little,7,4,male,single,none,2,car,28,none,own,1,skilled,1,yes,yes,good
794,100,15,existing paid,devices,1444,none,0,4,male,single,none,1,life insurance,23,none,own,1,skilled,1,none,yes,good
538,0,10,existing paid,devices,1924,little,4,1,male,single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,good
458,100,36,existing paid,car,6948,little,4,2,male,single,none,2,car,35,none,rent,1,high qualif,1,yes,yes,good
847,0,30,critical,devices,3077,none,8,3,male,single,none,2,car,40,none,own,2,skilled,2,yes,yes,good
784,0,6,critical,car,3676,little,4,1,male,single,none,3,real estate,37,none,rent,3,skilled,2,none,yes,good
953,0,24,existing paid,accessory,3345,little,8,4,male,single,none,2,life insurance,39,none,rent,1,high qualif,1,yes,yes,bad
816,0,12,critical,car,4843,little,8,3,male,single,co applicant,4,life insurance,43,none,rent,2,skilled,1,yes,yes,bad
959,0,12,delayed previously,car,1344,little,4,4,male,single,none,2,real estate,43,none,own,2,unskilled,2,none,yes,good
685,0,18,critical,devices,1149,>=1000,4,4,male,single,none,3,real estate,46,none,own,2,skilled,1,none,yes,good
507,0,12,critical,car,1409,little,8,4,male,single,none,3,real estate,54,none,own,1,skilled,1,none,yes,good
318,100,18,delayed previously,accessory,4297,little,8,4,male,single,none,3,no known property,40,none,own,1,high qualif,1,yes,yes,bad
584,0,9,existing paid,devices,1478,little,7,4,male,single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
899,0,18,no credits/all paid,business,4165,little,4,2,male,single,none,2,car,36,stores,own,2,skilled,2,none,yes,bad
896,0,48,existing paid,car,3931,little,7,4,male,single,none,4,no known property,46,none,for free,1,skilled,2,none,yes,bad
653,100,18,existing paid,education,1239,none,4,4,male,single,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good
62,100,6,critical,retraining,932,none,7,1,female,other,none,3,life insurance,39,none,own,2,unskilled,1,none,yes,good
782,100,48,no credits/all paid,business,12204,none,4,2,male,single,none,2,car,48,bank,own,1,high qualif,1,yes,yes,good
661,0,60,critical,car,13756,none,8,2,male,single,none,4,no known property,63,bank,for free,1,high qualif,1,yes,yes,good
945,0,16,critical,car,2625,little,8,2,male,single,guarantor,4,life insurance,43,bank,rent,1,skilled,1,yes,yes,bad
490,100,36,no credits/all paid,business,1953,little,8,4,male,single,none,4,no known property,61,none,for free,1,high qualif,1,yes,yes,bad
796,0,60,delayed previously,devices,15653,little,7,2,male,single,none,4,car,21,none,own,2,skilled,1,yes,yes,good
936,0,36,critical,car,6614,little,8,4,male,single,none,4,car,34,none,own,2,high qualif,1,yes,yes,good
421,100,72,existing paid,devices,5595,moderate,4,2,male,widow,none,2,car,24,none,own,1,skilled,1,none,yes,bad
984,0,60,existing paid,business,7297,little,8,4,male,single,co applicant,4,no known property,36,none,rent,1,skilled,1,none,yes,bad
216,0,12,existing paid,accessory,1123,rich,4,4,female,other,none,4,car,29,none,rent,1,unskilled,1,none,yes,bad
265,0,12,existing paid,devices,886,none,4,4,female,other,none,2,car,21,none,own,1,skilled,1,none,yes,good
568,0,30,critical,car,10623,little,8,3,male,single,none,4,no known property,38,none,for free,3,high qualif,2,yes,yes,good
609,0,18,existing paid,car,2662,none,7,4,male,single,none,3,life insurance,32,none,own,1,skilled,1,none,no,good
138,0,6,existing paid,devices,518,little,4,3,female,other,none,1,real estate,29,none,own,1,skilled,1,none,yes,good
711,0,6,existing paid,retraining,1238,none,unemployed,4,male,single,none,4,life insurance,36,none,own,1,high qualif,2,yes,yes,good
748,0,24,delayed previously,car,2032,little,8,4,male,single,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,good
865,300,15,critical,devices,1271,none,4,3,male,single,none,4,no known property,39,none,for free,2,skilled,1,yes,yes,bad
520,0,48,critical,devices,3578,none,8,4,male,single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,good
206,0,18,existing paid,education,750,little,unemployed,4,female,other,none,1,real estate,27,none,own,1,unemp/unskilled non res,1,none,yes,bad
195,300,10,existing paid,car,1240,moderate,8,1,female,other,none,4,no known property,48,none,for free,1,unskilled,2,none,yes,bad
996,0,12,existing paid,car,2390,none,8,4,male,single,none,3,car,50,none,own,1,skilled,1,yes,yes,good
803,0,48,existing paid,education,7476,little,7,4,male,single,none,1,no known property,50,none,for free,1,high qualif,1,yes,yes,good
704,0,15,existing paid,car,1721,little,0,2,male,single,none,3,real estate,36,none,own,1,skilled,1,none,yes,good
449,0,42,existing paid,devices,7166,none,7,2,male,widow,none,4,life insurance,29,none,rent,1,skilled,1,yes,yes,good
405,100,18,critical,devices,1245,little,4,4,male,widow,none,2,car,33,none,own,1,skilled,1,none,yes,bad
819,0,36,existing paid,business,5742,moderate,7,2,male,single,none,2,car,31,none,own,2,skilled,1,yes,yes,good
775,100,24,no credits/all paid,business,4241,little,4,1,male,single,none,4,real estate,36,none,own,3,unskilled,1,yes,yes,bad
468,100,7,existing paid,devices,2415,little,4,3,male,single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,good
761,0,24,all paid,devices,1546,little,7,4,male,single,guarantor,4,car,24,bank,rent,1,unskilled,1,none,yes,bad
96,100,60,existing paid,car,7408,moderate,0,4,female,other,none,2,life insurance,24,none,own,1,high qualif,1,none,yes,bad
881,0,22,existing paid,devices,2675,rich,8,3,male,single,none,4,car,40,none,own,1,skilled,1,none,yes,good
482,100,24,delayed previously,accessory,2333,none,0,4,male,single,none,2,life insurance,29,bank,own,1,unskilled,1,none,yes,good
247,0,36,critical,education,8065,little,4,3,female,other,none,2,no known property,25,none,own,2,high qualif,1,yes,yes,bad
466,100,12,critical,car,1804,moderate,0,3,male,single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,good
922,0,10,existing paid,accessory,2210,little,4,2,male,single,none,2,real estate,25,bank,rent,1,unskilled,1,none,yes,bad
844,0,9,critical,devices,1138,little,4,4,male,single,none,4,real estate,25,none,own,2,unskilled,1,none,yes,good
659,0,36,existing paid,car,3079,none,4,4,male,single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
493,0,36,existing paid,education,1819,little,4,4,male,single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,bad
191,0,36,existing paid,accessory,3349,little,4,4,female,other,none,2,car,28,none,own,1,high qualif,1,yes,yes,bad
943,0,36,delayed previously,car,8947,none,7,3,male,single,none,2,car,31,stores,own,1,high qualif,2,yes,yes,good
705,100,12,existing paid,retraining,754,none,8,4,male,single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
937,0,28,all paid,car,7824,none,0,3,male,single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,good
632,0,12,critical,education,701,little,4,4,male,single,none,2,car,32,none,own,2,skilled,1,none,yes,good
555,0,21,all paid,car,1647,none,4,4,male,single,none,2,life insurance,40,none,own,2,unskilled,2,none,yes,bad
232,0,4,critical,car,3380,little,7,1,female,other,none,1,real estate,37,none,own,1,skilled,2,none,yes,good
473,100,45,critical,devices,4746,little,0,4,male,single,none,2,life insurance,25,none,own,2,unskilled,1,none,yes,bad
835,100,12,existing paid,devices,1103,little,7,4,male,single,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,good
911,0,18,existing paid,car,6761,none,4,2,male,single,none,4,car,68,none,rent,2,skilled,1,none,yes,bad
121,0,12,existing paid,accessory,2578,little,unemployed,3,female,other,none,4,no known property,55,none,for free,1,high qualif,1,none,yes,good
476,300,10,existing paid,domestic appliance,1225,little,4,2,male,single,none,2,car,37,none,own,1,skilled,1,yes,yes,good
210,0,48,all paid,business,3609,little,4,1,female,other,none,1,real estate,27,stores,own,1,skilled,1,none,yes,good
947,0,24,existing paid,devices,1278,little,8,4,male,single,none,1,real estate,36,none,own,1,high qualif,1,yes,yes,good
402,0,6,existing paid,others,660,rich,7,2,male,widow,none,4,real estate,23,none,rent,1,unskilled,1,none,yes,good
341,0,48,existing paid,business,3914,none,4,4,male,single,none,2,real estate,38,bank,own,1,skilled,1,none,yes,bad
15,0,36,critical,accessory,6229,little,0,4,female,other,co applicant,4,no known property,23,none,rent,2,unskilled,1,yes,yes,bad
487,0,6,all paid,car,783,none,4,1,male,single,guarantor,2,real estate,26,stores,own,1,unskilled,2,none,yes,good
154,0,6,critical,car,609,little,7,4,female,other,none,3,life insurance,37,none,own,2,skilled,1,none,no,good
621,0,10,existing paid,car,1287,none,8,4,male,single,co applicant,2,life insurance,45,none,own,1,unskilled,1,none,no,good
151,0,6,critical,devices,1237,moderate,4,1,female,other,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
868,0,12,existing paid,devices,2214,little,4,4,male,single,none,3,life insurance,24,none,own,1,unskilled,1,none,yes,good
861,0,21,existing paid,car,5248,none,4,1,male,single,none,3,car,26,none,own,1,skilled,1,none,yes,good
416,0,24,critical,devices,1851,little,7,4,male,widow,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,good
588,0,12,existing paid,devices,2141,moderate,7,3,male,single,none,1,no known property,35,none,own,1,skilled,1,none,yes,good
103,100,24,existing paid,devices,3758,rich,unemployed,1,female,other,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,good
561,100,48,no credits/all paid,business,3844,moderate,7,4,male,single,none,4,no known property,34,none,for free,1,unskilled,2,none,yes,bad
357,100,21,delayed previously,car,2353,little,4,1,male,single,none,4,life insurance,47,none,own,2,skilled,1,none,yes,good
826,0,60,existing paid,car,6527,none,4,4,male,single,none,4,no known property,34,none,for free,1,skilled,2,yes,yes,good
769,100,12,critical,car,3124,little,0,1,male,single,none,3,real estate,49,bank,own,2,unskilled,2,none,yes,good
777,0,24,delayed previously,business,3863,little,4,1,male,single,none,2,no known property,32,none,for free,1,skilled,1,none,yes,good
160,100,15,existing paid,car,2631,moderate,4,2,female,other,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
181,0,18,existing paid,accessory,2039,little,4,1,female,other,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,bad
812,0,21,existing paid,accessory,2241,little,8,4,male,single,none,2,real estate,50,none,own,2,skilled,1,none,yes,good
535,0,36,critical,accessory,5371,little,4,3,male,single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,good
